,feature_names
469,P10_NG_I
470,P70_NG_VV
471,P40_NG_IV
472,P100_NG_RL
473,P100_NG_E
474,P100_NG_KQ
475,P30_NG_E
476,P100_NG_R
477,P10_NG_G
478,P90_NG_SH
479,P90_NG_PE
480,P90_NG_RT
481,P100_NG_PF
482,P80_NG_PR
483,P100_NG_NV
484,P10_NG_H
485,P50_NG_P
486,P100_NG_VD
487,P70_NG_LG
488,P80_NG_EA
489,P80_NG_PG
490,P60_NG_GV
491,P80_NG_ST
492,P70_NG_YA
493,P50_NG_KL
494,P100_NG_NR
495,P70_NG_D
496,P60_NG_GN
497,P50_NG_EL
498,P100_NG_VF
499,P60_NG_GY
500,P70_NG_AG
501,P20_NG_H
502,P40_NG_YD
503,P20_NG_I
504,P60_NG_YL
505,P70_NG_SS
506,P70_NG_GY
507,P100_NG_PN
508,P100_NG_GD
509,P100_NG_VL
510,P100_NG_SH
511,P60_NG_KE
512,P40_NG_VT
513,P90_NG_GH
514,P80_NG_GY
515,P100_NG_V
516,P100_NG_VA
517,P100_NG_QV
518,P90_NG_RV
519,P80_NG_EQ
520,P10_NG_Y
521,P70_NG_AA
522,P90_NG_EG
523,P20_NG_VL
524,P50_NG_Y
525,P30_NG_C
526,P80_NG_G
527,P90_NG_DV
528,P90_NG_SS
529,P20_NG_D
530,P70_NG_RI
531,P100_NG_GE
532,P60_NG_EG
533,P100_NG_AV
534,P100_NG_DG
535,P100_NG_AG
536,P40_NG_C
537,P80_NG_KR
538,P80_NG_SR
539,P100_NG_IK
540,P100_NG_IL
541,P50_NG_EI
542,P100_NG_RQ
543,P80_NG_NK
544,P60_NG_ID
545,P60_NG_RQ
546,P70_NG_L
547,P80_NG_YT
548,P70_NG_GG
549,P100_NG_ME
550,P70_NG_SQ
551,P60_NG_NA
552,P70_NG_GI
553,P50_NG_H
554,P60_NG_SS
555,P70_NG_GA
556,P70_NG_LT
557,P80_NG_TN
558,P100_NG_G
559,P100_NG_GS
560,P40_NG_S
561,P60_NG_LL
562,P60_NG_IT
563,P20_NG_L
564,P50_NG_QR
565,P90_NG_ER
566,P60_NG_NT
567,P60_NG_IE
568,P90_NG_RS
569,P50_NG_GV
570,P100_NG_RH
571,P50_NG_DG
572,P80_NG_LK
573,P60_NG_S
574,P90_NG_RH
575,P40_NG_A
576,P70_NG_YN
577,P90_NG_RR
578,P70_NG_EG
579,P70_NG_DN
580,P40_NG_F
581,P100_NG_NL
582,P50_NG_EA
583,P70_NG_KT
584,P20_NG_SS
585,P50_NG_GN
586,P60_NG_RK
587,P90_NG_YN
588,P20_NG_M
589,P100_NG_P
590,P80_NG_NG
591,P100_NG_EE
592,P90_NG_GN
593,P70_NG_RR
594,P50_NG_G
595,P100_NG_Q
596,P60_NG_ED
597,P90_NG_DY
598,P90_NG_QL
599,P30_NG_G
